Sample Date,Sample Time,Depth,total_phosphorus,pH,temperature,dissolved_reactive_phosphorus,total_dissolved_phosphorus,electrical_conductance,nitrate_nitrogen,dissolved_oxygen,nitrite_nitrogen,oxygen_saturation,hardness,biochemical_oxygen_demand,total_suspended_solids,bicarbonate,dissolved_organic_carbon,chloride,total_organic_carbon,chemical_oxygen_demand,cadmium,lead,chromium,total_dissolved_solids,arsenic,calcium,turbidity,magnesium,mercury,sodium,alkalinity,potassium,zinc,iron,copper,manganese,cobalt,silica,barium,selenium,boron,uranium,fluoride,strontium,lithium,sulfate,total_solids,ammonium_nitrogen,oxidized_nitrogen,nickel,ammonia_nitrogen,Water_Quality_Class
2016-04-01,12:00,0.3,0.809007,8.1,27.5,,,1613.0,9.679672,7.8,1.246039,97.5,1024.0,8.58,76.0,,0.4899,,0.5724,24.0,0.0002,0.00154,0.00088,1032.32,0.00139,,90.0,,8.999999999999999e-05,,,,,,,,,,,,,,,,,,,,,0.0068,1.2597,Poor
2001-03-06,12:00,0.3,,4.72,7.9,,,1003.0,,,,,,,,,,283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Poor
2019-01-24,,14.0,,,24.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-01,,1.0,,,,,,638.0,8.9390664,10.0,0.00304878,,,,,,,42.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0077649,,,,Moderate
2014-10-01,,0.3,,,,,,471.0,17.381518,8.2,0.000609756,,,,,,,18.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0077649,,,,Moderate
2015-05-12,,0.5,2.1,,,,,,0.03837478,2.802,0.00304878,29.0,,,36.0,,33.4,22.0,,,,,,36.0,,0.018,,3.7,,21.0,,,0.026,,0.0031999999999999,,,,,,,,,,,,,0.5823675,,,,Moderate
2021-04-01,00:00,0.3,,7.939999999999999,27.5,0.15,,417.0,4.97,2.5,0.0,,,,,,,,,,,,,189.1,,,1.1,,,,2.16,,,,,,,,,,,,,,,,,0.25,4.97,,,Moderate
2007-02-01,00:00,0.3,,7.9,18.0,0.273851,,892.0,,6.7,0.3243,70.7722,238.4685,,,592.92,,,,,,,,,,,,,,,272.122,,,,,,,,,,,,,,,,,,,,,Poor
2019-03-15,,2.0,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-09-20,15:50,0.3,0.0044,6.91,10.8,,,17.299999999999997,0.005,10.97,,,7.2,,,,3.6,0.11,,,3e-06,3.7e-05,0.00011,,6e-05,,0.305,,,0.59,7.2,0.31,0.0002,0.124,0.00031,0.0095199999999999,1.3e-05,,0.00432,2e-05,0.0005,1.28e-05,,0.0125,0.0002099999999999,0.66,,,,0.00011,,Good
